bib_key,entry_type,title,authors,year,venue,doi,url
Muhammad2020Deep,article,Deep Learning for Safe Autonomous Driving: Current Challenges and Future Directions,Khan Muhammad and Amin Ullah and Jaime Lloret and Javier Del Ser and Victor Hugo C. de Albuquerque,2020,IEEE Transactions on Intelligent Transportation Systems,10.1109/tits.2020.3032227,https://doi.org/10.1109/tits.2020.3032227
Gyllenhammar2025Road,article,The Road to Safe Automated Driving Systems: A Review of Methods Providing Safety Evidence,"Gyllenhammar, Magnus and Rodrigues de Campos, Gabriel and Torngren, Martin",2025,IEEE Transactions on Intelligent Transportation Systems,10.1109/tits.2025.3532684,https://doi.org/10.1109/tits.2025.3532684
Yurtsever2020Survey,article,A Survey of Autonomous Driving: Common Practices and Emerging Technologies,"Yurtsever, Ekim and Lambert, Jacob and Carballo, Alexander and Takeda, Kazuya",2020,IEEE Access,10.1109/access.2020.2983149,https://doi.org/10.1109/access.2020.2983149
Muzahid2023Multiple,article,Multiple vehicle cooperation and collision avoidance in automated vehicles: survey and an AI-enabled conceptual framework,"Muzahid, Abu Jafar Md and Kamarulzaman, Syafiq Fauzi and Rahman, Md Arafatur and Murad, Saydul Akbar and Kamal, Md Abdus Samad and Alenezi, Ali H",2023,Scientific Reports,10.1038/s41598-022-27026-9,https://doi.org/10.1038/s41598-022-27026-9
Gholamhosseinian2022Comprehensive,article,A Comprehensive Survey on Cooperative Intersection Management for Heterogeneous Connected Vehicles,"Gholamhosseinian, Ashkan and Seitz, Jochen",2022,IEEE Access,10.1109/access.2022.3142450,https://doi.org/10.1109/access.2022.3142450
Muzahid2022Deep,article,Deep Reinforcement Learning-Based Driving Strategy for Avoidance of Chain Collisions and Its Safety Efficiency Analysis in Autonomous Vehicles,"Muzahid, Abu Jafar Md and Kamarulzaman, Syafiq Fauzi and Rahman, Md. Arafatur and Alenezi, Ali H.",2022,IEEE Access,10.1109/access.2022.3167812,https://doi.org/10.1109/access.2022.3167812
Zhang2020Research,article,Research on Traffic Vehicle Behavior Prediction Method Based on Game Theory and HMM,"Zhang, Sumin and Zhi, Yongshuai and He, Rui and Li, Jianping",2020,IEEE Access,10.1109/access.2020.2971705,https://doi.org/10.1109/access.2020.2971705
Lian2026Game,article,Game-theoretic modeling of vehicle unprotected left turns considering drivers' bounded rationality,"Lian, Yuansheng and Zhang, Ke and Li, Shen and Li, Meng",2026,Accident Analysis \& Prevention,10.1016/j.aap.2026.108632,https://doi.org/10.1016/j.aap.2026.108632
Li2019Influencing,article,Influencing Factors of Driving Decision-Making Under the Moral Dilemma,S. Li and J. Zhang and P. Li and Y. Wang and Q. Wang,2019,IEEE Access,10.1109/access.2019.2932043,https://doi.org/10.1109/access.2019.2932043
Ming2023Exploration,article,Exploration of the intelligent control system of autonomous vehicles based on edge computing,"Ming, Guo",2023,PLoS ONE,10.1371/journal.pone.0281294,https://doi.org/10.1371/journal.pone.0281294
